"Timeslot", "Start", "Duration"
"Friday AM", "2017-10-07T09:00:00Z", "180"
"Friday PM", "2017-11-24T13:00:00Z", "240"
"Friday NIGHT", "2017-11-24T19:00:00Z", "180"
"Saturday DAWN", "2017-11-25T06:00:00Z", "240"
"Saturday AM", "2017-11-25T09:00:00Z", "240"
"Saturday PM", "2017-11-25T13:00:00Z", "180"
"Saturday NIGHT", "2017-11-25T19:00:00Z", "240"
"Sunday DAWN", "2017-11-26T06:00:00Z", "240"
"Sunday AM", "2017-11-26T09:00:00Z", "240"
"Sunday PM", "2017-11-26T13:00:00Z", "240"
